Cascia comune,Cascia comune.1
,
Cascia – Veduta,Cascia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Mario De Carolis (lista civica di centro-sinistra Patto per Cascia) dal 12-6-2022
Territorio,Territorio
Coordinate,42°43′05.76″N 13°00′48.84″E
Altitudine,653 m s.l.m.
Superficie,"180,85 km²"
Abitanti,2 934[1] (30-11-2025)
Densità,"16,22 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Cerreto di Spoleto, Cittareale (RI), Leonessa (RI), Monteleone di Spoleto, Norcia, Poggiodomo"
Altre informazioni,Altre informazioni
Cod. postale,06043
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054007
Cod. catastale,B948
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 452 GG[3]"
Nome abitanti,casciani/e
Patrono,santa Rita da Cascia
Giorno festivo,22 maggio
Cartografia,Cartografia
Cascia,Cascia
Cascia – MappaPosizione del comune di Cascia all'interno della provincia di Perugia,Cascia – MappaPosizione del comune di Cascia all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
