Provincia di Perugia provincia,Provincia di Perugia provincia.1
,
"Provincia di Perugia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale.","Provincia di Perugia – VedutaPalazzo della Provincia, attuale sede dell'amministrazione provinciale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Amministrazione,Amministrazione
Capoluogo,Perugia
Presidente,Massimiliano Presciutti (PD) dal 30-3-2025
Territorio,Territorio
Coordinate del capoluogo,43°06′43.56″N 12°23′19.68″E
Superficie,"6 337,15 km²"
Abitanti,636 147[1] (30-11-2025)
Densità,"100,38 ab./km²"
Comuni,59 comuni
Province confinanti,"Pesaro e Urbino (Marche), Ancona (Marche), Macerata (Marche), Ascoli Piceno (Marche), Rieti (Lazio), Terni, Siena (Toscana), Arezzo (Toscana)"
Altre informazioni,Altre informazioni
Cod. postale,"06100, 06010-06089"
Prefisso,"075, 0578, 0742, 0743"
Fuso orario,UTC+1
ISO 3166-2,IT-PG
Codice ISTAT,054
Targa,PG
Cartografia,Cartografia
Provincia di Perugia – Localizzazione,Provincia di Perugia – Localizzazione
Provincia di Perugia – MappaPosizione della provincia di Perugia all'interno dell'Umbria.,Provincia di Perugia – MappaPosizione della provincia di Perugia all'interno dell'Umbria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
