Umbertide comune,Umbertide comune.1
,
Umbertide – Veduta,Umbertide – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Luca Carizia (Lega) dal 25-6-2018 (2º mandato dal 29-5-2023)
Data di istituzione,12 febbraio 1189
Territorio,Territorio
Coordinate,43°18′23.74″N 12°19′37.05″E
Altitudine,247 m s.l.m.
Superficie,"200,83 km²"
Abitanti,16 210[1] (30-11-2025)
Densità,"80,72 ab./km²"
Frazioni,"Badia di Montecorona, Bastia Creti, Borgo Baraglia, Calzolaro, Campaola, Castelvecchio, Cioccolanti, Comunaglia, Galera, La Dogana, Leoncini, La Mita, Molino Vitelli, Monte Acuto, Montecastelli, Monestevole, Niccone, Nestore, Pian D'Assino, Polgeto, Pierantonio, Preggio, Racchiusole, Romeggio, Ranchi, San Silvestro delle Arcelle, Spedalicchio, Verna"
Comuni confinanti,"Città di Castello, Cortona (AR), Gubbio, Lisciano Niccone, Magione, Montone, Passignano sul Trasimeno, Perugia, Pietralunga"
Altre informazioni,Altre informazioni
Cod. postale,06019
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054056
Cod. catastale,D786
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 192 GG[3]"
Nome abitanti,umbertidesi
Patrono,Madonna della Reggia
Giorno festivo,8 settembre
Cartografia,Cartografia
Umbertide,Umbertide
Umbertide – MappaPosizione del comune di Umbertide all'interno della provincia di Perugia,Umbertide – MappaPosizione del comune di Umbertide all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
