Massa Martana comune,Massa Martana comune.1
,
Massa Martana – Veduta,Massa Martana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Francesco Federici (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°46′32.13″N 12°31′23.71″E
Altitudine,351 m s.l.m.
Superficie,"78,41 km²"
Abitanti,3 563[1] (30-11-2025)
Densità,"45,44 ab./km²"
Frazioni,"Castel Rinaldi, Castelvecchio, Colpetrazzo, Mezzanelli, Montignano, Viepri, Villa San Faustino"
Comuni confinanti,"Acquasparta (TR), Giano dell'Umbria, Gualdo Cattaneo, Spoleto, Todi"
Altre informazioni,Altre informazioni
Cod. postale,06056
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054028
Cod. catastale,F024
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 262 GG[3]"
Nome abitanti,massetani
Patrono,san Felice
Giorno festivo,30 ottobre
Cartografia,Cartografia
Massa Martana,Massa Martana
Massa Martana – MappaPosizione del comune di Massa Martana all'interno della provincia di Perugia,Massa Martana – MappaPosizione del comune di Massa Martana all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
