Licciana Nardi comune,Licciana Nardi comune.1
,
Licciana Nardi – VedutaPanoramica di Licciana Nardi,Licciana Nardi – VedutaPanoramica di Licciana Nardi
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Renzo Martelloni (lista civica Cambiamo Licciana) dal 12-6-2017
Territorio,Territorio
Coordinate,44°16′N 10°02′E
Altitudine,210 m s.l.m.
Superficie,"55,68 km²"
Abitanti,4 711[1] (30-11-2025)
Densità,"84,61 ab./km²"
Frazioni,"Apella, Bastia, Cisigliana, Gabanasco, Monti, Panicale, Pontebosio, Taponecco, Tavernelle, Terrarossa, Varano."
Comuni confinanti,"Aulla, Bagnone, Comano, Fivizzano, Monchio delle Corti (PR), Podenzana, Tresana, Villafranca in Lunigiana"
Altre informazioni,Altre informazioni
Cod. postale,54016
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045009
Cod. catastale,E574
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 146 GG[3]"
Nome abitanti,"liccianini, liccianesi[4]"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Licciana Nardi,Licciana Nardi
Licciana Nardi – MappaPosizione del comune di Licciana Nardi all'interno della provincia di Massa-Carrara,Licciana Nardi – MappaPosizione del comune di Licciana Nardi all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
