Podenzana comune,Podenzana comune.1
,
Podenzana – VedutaIl municipio,Podenzana – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Riccardo Varese (lista civica Noi siamo Podenzana) dal 09-06-2024
Territorio,Territorio
Coordinate,44°12′N 9°57′E
Altitudine,350 m s.l.m.
Superficie,"17,1 km²"
Abitanti,2 146[1] (30-11-2025)
Densità,"125,5 ab./km²"
Frazioni,Montedivalli
Comuni confinanti,"Aulla, Bolano (SP), Calice al Cornoviglio (SP), Follo (SP), Licciana Nardi, Tresana"
Altre informazioni,Altre informazioni
Cod. postale,54010
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045013
Cod. catastale,G746
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 280 GG[3]"
Nome abitanti,"podenzanino, podenzanini[4]"
Patrono,Nostra Signora Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Podenzana,Podenzana
Podenzana – MappaPosizione del comune di Podenzana all'interno della provincia di Massa-Carrara,Podenzana – MappaPosizione del comune di Podenzana all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
