Bagnone comune,Bagnone comune.1
,
Bagnone – Veduta,Bagnone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Giovanni Guastalli (lista civica Bagnone nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,44°18′53.06″N 9°59′40.76″E
Altitudine,236 m s.l.m.
Superficie,"73,94 km²"
Abitanti,1 682[1] (30-11-2025)
Densità,"22,75 ab./km²"
Frazioni,"Agnetta, Biglio, Canale, Canneto, Cassolana, Castiglione del Terziere, Collesino, Compione, Corlaga, Corvarola, Gabbiana, Groppo, Iera, Leugio, Lusana, Mochignano di Sopra, Mochignano di Sotto, Monterole, Nezzana, Orturano, Pastina, Pieve, Stazzone, Treschietto, Valle-Montale, Vespeno, Vico"
Comuni confinanti,"Corniglio (PR), Filattiera, Licciana Nardi, Monchio delle Corti (PR), Villafranca in Lunigiana"
Altre informazioni,Altre informazioni
Cod. postale,54021
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045002
Cod. catastale,A576
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 316 GG[3]"
Nome abitanti,"bagnonese, bagnonesi[4]"
Patrono,san Nicolò
Cartografia,Cartografia
Bagnone,Bagnone
Bagnone – MappaPosizione del comune di Bagnone all'interno della provincia di Massa-Carrara,Bagnone – MappaPosizione del comune di Bagnone all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
