Casola in Lunigiana comune,Casola in Lunigiana comune.1
,
Casola in Lunigiana – VedutaPanorama del borgo casolino,Casola in Lunigiana – VedutaPanorama del borgo casolino
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Mattia Leonardi (lista civica Casola Futura) dal 10-06-2024
Territorio,Territorio
Coordinate,44°12′N 10°11′E
Altitudine,328 m s.l.m.
Superficie,"41,54 km²"
Abitanti,903[1] (30-11-2025)
Densità,"21,74 ab./km²"
Frazioni,"Argigliano, Casciana, Castiglioncello, Codiponte, Equi Terme, Luscignano, Montefiore, Regnano, Reusa, Ugliancaldo, Vedriano, Vigneta[2]"
Comuni confinanti,"Fivizzano, Minucciano (LU), Sillano Giuncugnano (LU)"
Altre informazioni,Altre informazioni
Cod. postale,54014
Prefisso,0585
Fuso orario,UTC+1
Codice ISTAT,045004
Cod. catastale,B979
Targa,MS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 287 GG[4]"
Nome abitanti,"casolino, casolini[5]"
Patrono,San Pellegrino
Giorno festivo,1º agosto
Cartografia,Cartografia
Casola in Lunigiana,Casola in Lunigiana
Casola in Lunigiana – MappaPosizione del comune di Casola in Lunigiana all'interno della provincia di Massa-Carrara,Casola in Lunigiana – MappaPosizione del comune di Casola in Lunigiana all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
