Fivizzano comune,Fivizzano comune.1
,
Fivizzano – VedutaPanorama di Fivizzano,Fivizzano – VedutaPanorama di Fivizzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Gianluigi Giannetti (lista civica Progetto comune) dal 27-5-2019
Territorio,Territorio
Coordinate,44°14′N 10°07′E
Altitudine,326 m s.l.m.
Superficie,"181,18 km²"
Abitanti,6 891[1] (30-11-2025)
Densità,"38,03 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Aulla, Carrara, Casola in Lunigiana, Comano, Fosdinovo, Licciana Nardi, Massa, Minucciano (LU), Sillano Giuncugnano (LU), Ventasso (RE)"
Altre informazioni,Altre informazioni
Cod. postale,54013
Prefisso,0585
Fuso orario,UTC+1
Codice ISTAT,045007
Cod. catastale,D629
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 283 GG[3]"
Nome abitanti,fivizzanesi[4]
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Fivizzano,Fivizzano
Fivizzano – MappaPosizione del comune di Fivizzano all'interno della provincia di Massa-Carrara,Fivizzano – MappaPosizione del comune di Fivizzano all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
