Pontremoli comune,Pontremoli comune.1
,
Pontremoli – Veduta,Pontremoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Jacopo Maria Ferri (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,44°22′34″N 9°52′47.64″E
Altitudine,236 m s.l.m.
Superficie,"182,48 km²"
Abitanti,6 868[1] (30-11-2025)
Densità,"37,64 ab./km²"
Frazioni,"Arzelato, Arzengio, Barcola, Baselica, Bassone, Braia, Bratto, Careola, Cargalla, Casa Corvi, Casalina, Cavezzana d'Antena, Cavezzana Gordana, Ceretoli, Cervara, Dozzano, Gravagna, Grondola, Groppodalosio, Guinadi, La Piagna, Mignegno, Montelungo, Navola, Oppilo, Pieve di Saliceto, Pracchiola, Previdè, San Cristoforo, Succisa, Teglia, Toplecca, Torrano, Traverde, Versola, Vignola"
Comuni confinanti,"Albareto (PR), Berceto (PR), Borgo Val di Taro (PR), Corniglio (PR), Filattiera, Mulazzo, Zeri"
Altre informazioni,Altre informazioni
Cod. postale,54027
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045014
Cod. catastale,G870
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 166 GG[3]"
Nome abitanti,pontremolesi
Patrono,san Geminiano
Giorno festivo,31 gennaio
Cartografia,Cartografia
Pontremoli,Pontremoli
Pontremoli – MappaPosizione del comune di Pontremoli all'interno della provincia di Massa-Carrara,Pontremoli – MappaPosizione del comune di Pontremoli all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
