Fosdinovo comune,Fosdinovo comune.1
,
Fosdinovo – VedutaPanorama del borgo medievale,Fosdinovo – VedutaPanorama del borgo medievale
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Antonio Moriconi (lista civica Uniti per Fosdinovo) dal 10-6-2024
Data di istituzione,1797
Territorio,Territorio
Coordinate,44°08′N 10°01′E
Altitudine,500 m s.l.m.
Superficie,"48,71[1] km²"
Abitanti,4 593[2] (30-11-2025)
Densità,"94,29 ab./km²"
Frazioni,"Canepari, Caniparola, Caprognano, Carignano, Gignago, Giucano, Marciaso, Paghezzana, Ponzanello, Posterla, Pulica, Tendola"
Comuni confinanti,"Aulla, Carrara, Castelnuovo Magra (SP), Fivizzano, Luni (SP), Sarzana (SP)"
Altre informazioni,Altre informazioni
Cod. postale,54035 e 54030
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045008
Cod. catastale,D735
Targa,MS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 687 GG[4]"
Nome abitanti,"fosdinovese, fosdinovesi[5]"
Patrono,san Remigio
Giorno festivo,1º ottobre
Cartografia,Cartografia
Fosdinovo,Fosdinovo
Fosdinovo – MappaPosizione del comune di Fosdinovo all'interno della provincia di Massa e Carrara,Fosdinovo – MappaPosizione del comune di Fosdinovo all'interno della provincia di Massa e Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
