Zeri comune,Zeri comune.1
,
Zeri – Veduta,Zeri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Cristian Petacchi (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,44°21′N 9°46′E
Altitudine,708 m s.l.m.
Superficie,"73,66 km²"
Abitanti,894[1] (30-11-2025)
Densità,"12,14 ab./km²"
Frazioni,"Adelano, Castello, Codolo, Coloretta, Montelama, Noce, Patigno, Paretola, Rossano, Villaggio degli Aracci"
Comuni confinanti,"Albareto (PR), Mulazzo, Pontremoli, Rocchetta di Vara (SP), Sesta Godano (SP), Zignago (SP)"
Altre informazioni,Altre informazioni
Cod. postale,54029
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045017
Cod. catastale,M169
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 136 GG[3]"
Nome abitanti,"zerasco, zeraschi[4]"
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Zeri,Zeri
Zeri – MappaPosizione del comune di Zeri all'interno della provincia di Massa-Carrara,Zeri – MappaPosizione del comune di Zeri all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
