Villafranca in Lunigiana comune,Villafranca in Lunigiana comune.1
,
Villafranca in Lunigiana – Veduta,Villafranca in Lunigiana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Abramo Filippo Bellesi (lista civica) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,44°17′44″N 9°57′00″E
Altitudine,138 m s.l.m.
Superficie,"29,32 km²"
Abitanti,4 783[1] (30-11-2025)
Densità,"163,13 ab./km²"
Frazioni,"Filetto, Fornoli, Irola, Malgrate, Merizzo, Mocrone, Virgoletta"
Comuni confinanti,"Bagnone, Filattiera, Licciana Nardi, Mulazzo, Tresana"
Altre informazioni,Altre informazioni
Cod. postale,54028
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045016
Cod. catastale,L946
Targa,MS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 887 GG[3]"
Nome abitanti,"villafranchese, villafranchesi[4]"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Villafranca in Lunigiana,Villafranca in Lunigiana
Villafranca in Lunigiana – MappaPosizione del comune di Villafranca in Lunigiana all'interno della provincia di Massa-Carrara,Villafranca in Lunigiana – MappaPosizione del comune di Villafranca in Lunigiana all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
