Filattiera comune,Filattiera comune.1
,
Filattiera – VedutaVeduta,Filattiera – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Massa-Carrara
Amministrazione,Amministrazione
Sindaco,Annalisa Folloni (SEL Alternativa democratica per Filattiera) dal 26-5-2014
Territorio,Territorio
Coordinate,44°20′N 9°56′E
Altitudine,213 m s.l.m.
Superficie,"48,78 km²"
Abitanti,2 149[1] (30-11-2025)
Densità,"44,05 ab./km²"
Frazioni,"Caprio, Cavallana, Dobbiana, Gigliana, Lusignana, Migliarina, Ponticello, Rocca Sigillina, Scorcetoli, Serravalle[2]"
Comuni confinanti,"Bagnone, Corniglio (PR), Mulazzo, Pontremoli, Villafranca in Lunigiana"
Altre informazioni,Altre informazioni
Cod. postale,54023
Prefisso,0187
Fuso orario,UTC+1
Codice ISTAT,045006
Cod. catastale,D590
Targa,MS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 191 GG[4]"
Nome abitanti,"filattierese, filattieresi[5]"
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Filattiera,Filattiera
Filattiera – MappaPosizione del comune di Filattiera all'interno della provincia di Massa-Carrara,Filattiera – MappaPosizione del comune di Filattiera all'interno della provincia di Massa-Carrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
