Caltabellotta comune,Caltabellotta comune.1
,
Caltabellotta – Veduta,Caltabellotta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Biagio Marciante (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,37°34′32.66″N 13°13′06.99″E
Altitudine,949 m s.l.m.
Superficie,"124,09 km²"
Abitanti,3 069[1] (30-11-2025)
Densità,"24,73 ab./km²"
Frazioni,Sant'Anna
Comuni confinanti,"Bisacquino (PA), Burgio, Calamonaci, Chiusa Sclafani (PA), Giuliana (PA), Ribera, Sambuca di Sicilia, Sciacca, Villafranca Sicula"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084007
Cod. catastale,B427
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 949 GG[3]"
Nome abitanti,caltabellottesi
Patrono,san Pellegrino
Giorno festivo,18 agosto
Cartografia,Cartografia
Caltabellotta,Caltabellotta
Caltabellotta – MappaPosizione del comune di Caltabellotta nel libero consorzio comunale di Agrigento,Caltabellotta – MappaPosizione del comune di Caltabellotta nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
