Realmonte comune,Realmonte comune.1
,
Realmonte – VedutaLa Scala dei Turchi,Realmonte – VedutaLa Scala dei Turchi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Alessandro Pietro Mallia (Sindaco [1]) (Unione di Centro) dal 26-05-2025
Territorio,Territorio
Coordinate,37°18′37″N 13°27′46″E
Altitudine,144 m s.l.m.
Superficie,"20,37 km²"
Abitanti,4 367[2] (30-11-2025)
Densità,"214,38 ab./km²"
Comuni confinanti,"Agrigento, Porto Empedocle, Siculiana"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084032
Cod. catastale,H205
Targa,AG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 782 GG[4]"
Nome abitanti,realmontini
Patrono,san Domenico
Giorno festivo,8 agosto
Cartografia,Cartografia
Realmonte,Realmonte
Realmonte – MappaPosizione del comune di Realmonte nel libero consorzio comunale di Agrigento,Realmonte – MappaPosizione del comune di Realmonte nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
