Montevago comune,Montevago comune.1
,
Montevago – VedutaPanorama di Montevago,Montevago – VedutaPanorama di Montevago
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Margherita La Rocca Ruvolo (FI) dal 6-6-2016 (2º mandato dal 12-10-2021)
Territorio,Territorio
Coordinate,37°42′12″N 12°59′12″E
Altitudine,380 m s.l.m.
Superficie,"32,91 km²"
Abitanti,2 681[1] (30-11-2025)
Densità,"81,46 ab./km²"
Comuni confinanti,"Castelvetrano (TP), Menfi, Partanna (TP), Salaparuta (TP), Santa Margherita di Belice"
Altre informazioni,Altre informazioni
Cod. postale,92038
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084025
Cod. catastale,F655
Targa,AG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 189 GG[3]"
Nome abitanti,montevaghesi
Patrono,san Domenico
Giorno festivo,8 agosto
Cartografia,Cartografia
Montevago,Montevago
Montevago – MappaPosizione del comune di Montevago nel libero consorzio comunale di Agrigento,Montevago – MappaPosizione del comune di Montevago nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
