San Biagio Platani comune,San Biagio Platani comune.1
,
San Biagio Platani – VedutaGli archi di Pasqua,San Biagio Platani – VedutaGli archi di Pasqua
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Salvatore Di Bennardo (lista civica) dal 12-10-2021
Territorio,Territorio
Coordinate,37°30′36″N 13°31′35″E
Altitudine,416 m s.l.m.
Superficie,"42,67 km²"
Abitanti,2 752[1] (30-11-2025)
Densità,"64,49 ab./km²"
Comuni confinanti,"Alessandria della Rocca, Casteltermini, Sant'Angelo Muxaro, Santo Stefano Quisquina"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084035
Cod. catastale,H778
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 144 GG[3]"
Nome abitanti,sambiagesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
San Biagio Platani,San Biagio Platani
San Biagio Platani – MappaPosizione del comune di San Biagio Platani nel libero consorzio comunale di Agrigento,San Biagio Platani – MappaPosizione del comune di San Biagio Platani nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
