Naro comune,Naro comune.1
,
"Naro – VedutaVeduta di piazza Giuseppe Garibaldi, con il municipio e la chiesa di San Francesco, 2020","Naro – VedutaVeduta di piazza Giuseppe Garibaldi, con il municipio e la chiesa di San Francesco, 2020"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Melchiorre Milco Dalacchi (lista civica) dall'11-6-2024
Data di istituzione,1525
Territorio,Territorio
Coordinate,37°17′46.67″N 13°47′29.87″E
Altitudine,600 m s.l.m.
Superficie,"207,49 km²"
Abitanti,6 729[1] (30-11-2025)
Densità,"32,43 ab./km²"
Comuni confinanti,"Agrigento, Caltanissetta (CL), Camastra, Campobello di Licata, Canicattì, Castrofilippo, Delia (CL), Favara, Licata, Palma di Montechiaro, Ravanusa, Sommatino (CL)"
Altre informazioni,Altre informazioni
Cod. postale,92028
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084026
Cod. catastale,F845
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 320 GG[3]"
Nome abitanti,naresi
Patrono,san Calogero
Giorno festivo,18 giugno
Motto,(LA) Senatus Populusque Narensis (IT) Il Senato e il Popolo Narese
Cartografia,Cartografia
Naro,Naro
Naro – MappaPosizione del comune di Naro nel libero consorzio comunale di Agrigento,Naro – MappaPosizione del comune di Naro nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
