Sant'Angelo Muxaro comune,Sant'Angelo Muxaro comune.1
,
Sant'Angelo Muxaro – VedutaPanorama di Sant'Angelo Muxaro,Sant'Angelo Muxaro – VedutaPanorama di Sant'Angelo Muxaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Angelo Tirrito (lista civica Svoltiamo insieme) dall'11-6-2018 (2º mandato dal 30-5-2023)
Territorio,Territorio
Coordinate,37°28′51″N 13°32′47″E
Altitudine,335 m s.l.m.
Superficie,"64,52 km²"
Abitanti,1 122[1] (30-11-2025)
Densità,"17,39 ab./km²"
Comuni confinanti,"Agrigento, Alessandria della Rocca, Aragona, Casteltermini, Cattolica Eraclea, Cianciana, Raffadali, San Biagio Platani, Santa Elisabetta"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084039
Cod. catastale,I290
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 954 GG[3]"
Nome abitanti,santangelesi
Patrono,sant'Angelo
Giorno festivo,5 maggio
Cartografia,Cartografia
Sant'Angelo Muxaro,Sant'Angelo Muxaro
Sant'Angelo Muxaro – MappaPosizione del comune di Sant'Angelo Muxaro nel libero consorzio comunale di Agrigento,Sant'Angelo Muxaro – MappaPosizione del comune di Sant'Angelo Muxaro nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
