Burgio comune,Burgio comune.1
,
Burgio – VedutaPanorama di Burgio,Burgio – VedutaPanorama di Burgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Vincenzo Galifi (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°35′54.72″N 13°17′26.79″E
Altitudine,317 m s.l.m.
Superficie,"42,23[1] km²"
Abitanti,2 415[2] (30-11-2025)
Densità,"57,19 ab./km²"
Comuni confinanti,"Caltabellotta, Chiusa Sclafani (PA), Lucca Sicula, Palazzo Adriano (PA), Villafranca Sicula"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084005
Cod. catastale,B275
Targa,AG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 002 GG[4]"
Nome abitanti,burgitani
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Burgio,Burgio
Burgio – MappaPosizione del comune di Burgio nel libero consorzio comunale di Agrigento,Burgio – MappaPosizione del comune di Burgio nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
