Santa Elisabetta comune,Santa Elisabetta comune.1
,
Santa Elisabetta – Veduta,Santa Elisabetta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Liborio Gaziano (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,37°26′09″N 13°33′28″E
Altitudine,457 m s.l.m.
Superficie,"16,17 km²"
Abitanti,2 203[1] (30-11-2025)
Densità,"136,24 ab./km²"
Comuni confinanti,"Aragona, Joppolo Giancaxio, Raffadali, Sant'Angelo Muxaro"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084037
Cod. catastale,I185
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 230 GG[3]"
Nome abitanti,sabettesi
Patrono,santo Stefano
Giorno festivo,6 gennaio
Cartografia,Cartografia
Santa Elisabetta,Santa Elisabetta
Santa Elisabetta – MappaPosizione del comune di Santa Elisabetta nel libero consorzio comunale di Agrigento,Santa Elisabetta – MappaPosizione del comune di Santa Elisabetta nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
