Castrofilippo comune,Castrofilippo comune.1
,
Castrofilippo – Veduta,Castrofilippo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Totó Gioacchino Baio (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°21′00″N 13°45′04″E
Altitudine,470 m s.l.m.
Superficie,"18,08 km²"
Abitanti,2 557[1] (30-11-2025)
Densità,"141,43 ab./km²"
Comuni confinanti,"Canicattì, Favara, Naro, Racalmuto"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084013
Cod. catastale,C341
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 425 GG[3]"
Nome abitanti,castrofilippesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Castrofilippo,Castrofilippo
Castrofilippo – MappaPosizione del comune di Castrofilippo nel libero consorzio comunale di Agrigento,Castrofilippo – MappaPosizione del comune di Castrofilippo nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
