Cattolica Eraclea comune,Cattolica Eraclea comune.1
,
Cattolica Eraclea – VedutaPanorama di Cattolica Eraclea,Cattolica Eraclea – VedutaPanorama di Cattolica Eraclea
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Santo Borsellino (lista civica) dal 13-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,37°26′31″N 13°23′34″E
Altitudine,220 m s.l.m.
Superficie,"62,16 km²"
Abitanti,3 237[1] (30-11-2025)
Densità,"52,08 ab./km²"
Comuni confinanti,"Agrigento, Cianciana, Montallegro, Ribera, Sant'Angelo Muxaro"
Altre informazioni,Altre informazioni
Cod. postale,92011
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084014
Cod. catastale,C356
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 849 GG[3]"
Nome abitanti,cattolicesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Cattolica Eraclea,Cattolica Eraclea
Cattolica Eraclea – MappaPosizione del comune di Cattolica Eraclea nel libero consorzio comunale di Agrigento,Cattolica Eraclea – MappaPosizione del comune di Cattolica Eraclea nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
