Lucca Sicula comune,Lucca Sicula comune.1
,
Lucca Sicula – Veduta,Lucca Sicula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Salvatore Dazzo (lista civica) dall'11-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,37°34′50″N 13°18′28″E
Altitudine,513 m s.l.m.
Superficie,"18,63 km²"
Abitanti,1 701[1] (30-11-2025)
Densità,"91,3 ab./km²"
Comuni confinanti,"Bivona, Burgio, Calamonaci, Palazzo Adriano (PA), Villafranca Sicula"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084022
Cod. catastale,E714
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 282 GG[3]"
Nome abitanti,lucchesi
Patrono,Madonna Immacolata
Giorno festivo,8 dicembre
Cartografia,Cartografia
Lucca Sicula,Lucca Sicula
Lucca Sicula – MappaPosizione del comune di Lucca Sicula nel libero consorzio comunale di Agrigento,Lucca Sicula – MappaPosizione del comune di Lucca Sicula nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
