Campobello di Licata comune,Campobello di Licata comune.1
,
Campobello di Licata – Veduta,Campobello di Licata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Vito Terrana (DC) dal 9-06-2024
Territorio,Territorio
Coordinate,37°15′34″N 13°55′09″E
Altitudine,316 m s.l.m.
Superficie,"81,33 km²"
Abitanti,8 892[1] (30-11-2025)
Densità,"109,33 ab./km²"
Comuni confinanti,"Licata, Naro, Ravanusa"
Altre informazioni,Altre informazioni
Cod. postale,92023
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084010
Cod. catastale,B520
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 044 GG[3]"
Nome abitanti,campobellesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Campobello di Licata,Campobello di Licata
Campobello di Licata – MappaPosizione del comune di Campobello di Licata nel libero consorzio comunale di Agrigento,Campobello di Licata – MappaPosizione del comune di Campobello di Licata nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
