Cammarata comune,Cammarata comune.1
,
Cammarata – VedutaPanorama di Cammarata,Cammarata – VedutaPanorama di Cammarata
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Giuseppe Mangiapane (lista civica) dal 4-10-2020
Territorio,Territorio
Coordinate,37°37′52″N 13°37′56″E
Altitudine,682 m s.l.m.
Superficie,"192,46 km²"
Abitanti,5 809[1] (30-11-2025)
Densità,"30,18 ab./km²"
Frazioni,Borgo Callea
Comuni confinanti,"Acquaviva Platani (CL), Casteltermini, Castronovo di Sicilia (PA), Mussomeli (CL), San Giovanni Gemini, Santo Stefano Quisquina, Vallelunga Pratameno (CL), Villalba (CL)"
Altre informazioni,Altre informazioni
Cod. postale,92022
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084009
Cod. catastale,B486
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 605 GG[3]"
Nome abitanti,cammaratesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Cammarata,Cammarata
Cammarata – MappaPosizione del comune di Cammarata nel libero consorzio comunale di Agrigento,Cammarata – MappaPosizione del comune di Cammarata nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
