Siculiana comune,Siculiana comune.1
,
Siculiana – Veduta,Siculiana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Giuseppe Zambito (lista civica) dal 6-10-2020
Territorio,Territorio
Coordinate,37°20′08″N 13°25′21″E
Altitudine,129 m s.l.m.
Superficie,"40,99 km²"
Abitanti,4 178[1] (30-11-2025)
Densità,"101,93 ab./km²"
Frazioni,Siculiana Marina
Comuni confinanti,"Agrigento, Montallegro, Realmonte"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084042
Cod. catastale,I723
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 761 GG[3]"
Nome abitanti,siculianesi
Patrono,San Leonardo
Giorno festivo,3 maggio
Cartografia,Cartografia
Siculiana,Siculiana
Siculiana – MappaPosizione del comune di Siculiana nel libero consorzio comunale di Agrigento,Siculiana – MappaPosizione del comune di Siculiana nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
