Ravanusa comune,Ravanusa comune.1
,
Ravanusa – Veduta,Ravanusa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Salvatore Pitrola (indipendente di centro-sinistra) dal 29-5-2023
Territorio,Territorio
Coordinate,37°16′04″N 13°58′11″E
Altitudine,320 m s.l.m.
Superficie,"49,5 km²"
Abitanti,10 141[1] (30-11-2025)
Densità,"204,87 ab./km²"
Comuni confinanti,"Campobello di Licata, Licata, Mazzarino (CL), Naro, Riesi (CL), Sommatino (CL)"
Altre informazioni,Altre informazioni
Cod. postale,92029
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084031
Cod. catastale,H194
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 051 GG[3]"
Nome abitanti,ravanusani
Patrono,san Vito Maria SS. Assunta in Cielo Maria SS. del fico
Giorno festivo,"15 giugno, 15 agosto"
Cartografia,Cartografia
Ravanusa,Ravanusa
Ravanusa – MappaPosizione del comune di Ravanusa nel libero consorzio comunale di Agrigento,Ravanusa – MappaPosizione del comune di Ravanusa nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
