Racalmuto comune,Racalmuto comune.1
,
Racalmuto – VedutaPanorama di Racalmuto,Racalmuto – VedutaPanorama di Racalmuto
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Calogero Bongiorno (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,37°24′30″N 13°44′05″E
Altitudine,455 m s.l.m.
Superficie,"68,1 km²"
Abitanti,7 531[1] (30-11-2025)
Densità,"110,59 ab./km²"
Comuni confinanti,"Bompensiere (CL), Canicattì, Castrofilippo, Favara, Grotte, Milena (CL), Montedoro (CL)"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084029
Cod. catastale,H148
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 389 GG[3]"
Nome abitanti,racalmutesi
Patrono,santa Rosalia
Giorno festivo,4 settembre
Cartografia,Cartografia
Racalmuto,Racalmuto
Racalmuto – MappaPosizione del comune di Racalmuto nel libero consorzio comunale di Agrigento,Racalmuto – MappaPosizione del comune di Racalmuto nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
