Joppolo Giancaxio comune,Joppolo Giancaxio comune.1
,
Joppolo Giancaxio – VedutaCastello,Joppolo Giancaxio – VedutaCastello
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Domenico Migliara (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°23′17″N 13°33′22″E
Altitudine,275 m s.l.m.
Superficie,"19,11 km²"
Abitanti,1 065[1] (30-11-2025)
Densità,"55,73 ab./km²"
Comuni confinanti,"Agrigento, Aragona, Raffadali, Santa Elisabetta"
Altre informazioni,Altre informazioni
Cod. postale,92010
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084019
Cod. catastale,E390
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 970 GG[3]"
Nome abitanti,joppolesi[4] o giancascisi[senza fonte]
Patrono,san Francesco da Paola
Giorno festivo,2 aprile
Cartografia,Cartografia
Joppolo Giancaxio,Joppolo Giancaxio
Joppolo Giancaxio – MappaPosizione del comune di Joppolo Giancaxio nel libero consorzio comunale di Agrigento,Joppolo Giancaxio – MappaPosizione del comune di Joppolo Giancaxio nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
