Camastra comune,Camastra comune.1
,
Camastra – Veduta,Camastra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Dario Gaglio (lista civica) dal 6-10-2020
Territorio,Territorio
Coordinate,37°15′13″N 13°47′44″E
Altitudine,450 m s.l.m.
Superficie,"16,32 km²"
Abitanti,1 975[1] (30-11-2025)
Densità,"121,02 ab./km²"
Comuni confinanti,"Licata, Naro, Palma di Montechiaro"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084008
Cod. catastale,B460
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 981 GG[3]"
Nome abitanti,camastresi
Patrono,san Biagio
Giorno festivo,3 Febbraio e 3 Settembre
Cartografia,Cartografia
Camastra,Camastra
Camastra – MappaPosizione del comune di Camastra nel libero consorzio comunale di Agrigento,Camastra – MappaPosizione del comune di Camastra nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
