Sciacca comune,Sciacca comune.1
,
"Sciacca – VedutaVeduta aerea, 2020","Sciacca – VedutaVeduta aerea, 2020"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Fabio Termine (centro-sinistra) dal 27-6-2022
Territorio,Territorio
Coordinate,37°30′33″N 13°05′20″E
Altitudine,60 m s.l.m.
Superficie,"191,67 km²"
Abitanti,38 396[1] (30-11-2025)
Densità,"200,32 ab./km²"
Frazioni,"Bertolino, Castellana, Ragana, Raganella, Maragani, Carboj, San Marco, Baia Renella, Foggia, Carbone, Tonnara, Lido, Stazzone, Piana, Cartabubbo, Scunchipani Valle, Baiata, Tabasi, Bordea, Carcossea, Perriera, Seniazza, Ferraro, Cutrone, Montagna Portolana, Montagna Siracusa, Santa Maria, Galati, San Calogero, San Michele, Santa Caterina, Isabella, Cava di Lauro, Fontana Calda, Marchesa, Muciare, Sovareto, Sant'Antonio, Timpirussi, Lumia, Galenzo Aquilea, San Giorgio, Verdura, Misilifurni, Ciurami Spagnolo, Chiana Scunchipane, Grattauli, Gaddimi, Torredara, Guardabasso, Tranchina, Locogrande, Lazzarino, Stancapadrone, Lago del Carboj, Makauda"
Comuni confinanti,"Caltabellotta, Menfi, Ribera, Sambuca di Sicilia"
Altre informazioni,Altre informazioni
Cod. postale,92019
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084041
Cod. catastale,I533
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 887 GG[3]"
Nome abitanti,(IT) saccensi (SCN) sciacchitani
Patrono,Maria Santissima del Soccorso
Giorno festivo,2 febbraio 15 agosto
Cartografia,Cartografia
Sciacca,Sciacca
Sciacca – MappaPosizione del comune di Sciacca nel libero consorzio comunale di Agrigento,Sciacca – MappaPosizione del comune di Sciacca nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
