Sambuca di Sicilia comune,Sambuca di Sicilia comune.1
(dettagli),(dettagli)
Sambuca di Sicilia – Veduta,Sambuca di Sicilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Giuseppe Cacioppo (Sambuca prima di tutto) dal 29-5-2023
Territorio,Territorio
Coordinate,37°38′52″N 13°06′40″E
Altitudine,364 m s.l.m.
Superficie,"96,37 km²"
Abitanti,5 210[1] (30-11-2025)
Densità,"54,06 ab./km²"
Comuni confinanti,"Bisacquino (PA), Caltabellotta, Contessa Entellina (PA), Giuliana (PA), Menfi, Santa Margherita di Belice, Sciacca"
Altre informazioni,Altre informazioni
Lingue,siciliano e italiano
Cod. postale,92017
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084034
Cod. catastale,H743
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 092 GG[3]"
Nome abitanti,sambucesi
Patrono,Maria Santissima dell'Udienza san Giorgio Martire
Giorno festivo,23 aprile
PIL procapite,(nominale) 17533[4]
Cartografia,Cartografia
Sambuca di Sicilia,Sambuca di Sicilia
Sambuca di Sicilia – MappaPosizione del comune di Sambuca di Sicilia nel libero consorzio comunale di Agrigento,Sambuca di Sicilia – MappaPosizione del comune di Sambuca di Sicilia nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
