Licata comune,Licata comune.1
,
Licata – VedutaPanorama di Licata e del mar Mediterraneo dal Castel Sant'Angelo,Licata – VedutaPanorama di Licata e del mar Mediterraneo dal Castel Sant'Angelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Angelo Balsamo (lista civica di centro-destra) dal 29-5-2023
Data di istituzione,282 a.C.
Territorio,Territorio
Coordinate,37°06′30″N 13°56′49″E
Altitudine,8 m s.l.m.
Superficie,"179,68 km²"
Abitanti,34 191[1] (30-11-2025)
Densità,"190,29 ab./km²"
Frazioni,"Mollarella, Torre di Gaffe, Trippodi-Marianello, Nicolizia, Pisciotto Carrubella, Caduta, Monte sole, Torre San Nicola, Poliscia, Monserrato, La Rocca, Montegrande, Sant'Oliva, Finocchiara"
Comuni confinanti,"Butera (CL), Camastra, Campobello di Licata, Naro, Palma di Montechiaro, Ravanusa"
Altre informazioni,Altre informazioni
Cod. postale,92027
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084021
Cod. catastale,E573
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona B, 604 GG[3]"
Nome abitanti,"Licatesi in italiano, Licatisi in siciliano"
Patrono,sant'Angelo
Giorno festivo,5 maggio
Motto,Urbs Dilectissima (Città Diletta)
Cartografia,Cartografia
Licata,Licata
Licata – MappaPosizione del comune di Licata nel libero consorzio comunale di Agrigento,Licata – MappaPosizione del comune di Licata nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
