Villafranca Sicula comune,Villafranca Sicula comune.1
,
Villafranca Sicula – Veduta,Villafranca Sicula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Gaetano Bruccoleri (lista civica) dal 26-6-2022
Territorio,Territorio
Coordinate,37°35′21″N 13°17′24″E
Altitudine,326 m s.l.m.
Superficie,"17,63 km²"
Abitanti,1 299[1] (30-11-2025)
Densità,"73,68 ab./km²"
Comuni confinanti,"Burgio, Calamonaci, Caltabellotta, Lucca Sicula"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084043
Cod. catastale,L944
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 021 GG[3]"
Nome abitanti,villafranchesi
Patrono,Maria SS. del Mirto
Giorno festivo,31 maggio
Cartografia,Cartografia
Villafranca Sicula,Villafranca Sicula
Villafranca Sicula – MappaPosizione del comune di Villafranca Sicula nel libero consorzio comunale di Agrigento,Villafranca Sicula – MappaPosizione del comune di Villafranca Sicula nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
