Palma di Montechiaro comune,Palma di Montechiaro comune.1
,
Palma di Montechiaro – VedutaIl monastero delle benedettine di Palma di Montechiaro,Palma di Montechiaro – VedutaIl monastero delle benedettine di Palma di Montechiaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Stefano Castellino (FdI) dal 14-6-2017 (2º mandato dal 12-6-2022)
Data di istituzione,3 maggio 1637
Territorio,Territorio
Coordinate,37°11′37″N 13°45′57″E
Altitudine,165 m s.l.m.
Superficie,"77,06 km²"
Abitanti,21 315[1] (30-11-2025)
Densità,"276,6 ab./km²"
Frazioni,"Marina di Palma, Ciotta"
Comuni confinanti,"Agrigento, Camastra, Licata, Naro"
Altre informazioni,Altre informazioni
Cod. postale,92044
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084027
Cod. catastale,G282
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona B, 829 GG[3]"
Nome abitanti,palmesi
Patrono,Maria Santissima del Rosario
Giorno festivo,8 settembre
Cartografia,Cartografia
Palma di Montechiaro,Palma di Montechiaro
Palma di Montechiaro – MappaPosizione del comune di Palma di Montechiaro nel libero consorzio comunale di Agrigento,Palma di Montechiaro – MappaPosizione del comune di Palma di Montechiaro nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
