Porto Empedocle comune,Porto Empedocle comune.1
,
Porto Empedocle – Veduta,Porto Empedocle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Calogero Martello (FI) dal 26-10-2021
Territorio,Territorio
Coordinate,37°17′40″N 13°31′38″E
Altitudine,2 m s.l.m.
Superficie,"25,23 km²"
Abitanti,15 423[1] (30-11-2025)
Densità,"611,3 ab./km²"
Comuni confinanti,"Agrigento, Realmonte"
Altre informazioni,Altre informazioni
Cod. postale,92014
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084028
Cod. catastale,F299
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona A, 579 GG[3]"
Nome abitanti,empedoclini (marinisi in Lingua siciliana)
Patrono,san Gerlando
Giorno festivo,25 febbraio
Cartografia,Cartografia
Porto Empedocle,Porto Empedocle
Porto Empedocle – MappaPosizione del comune di Porto Empedocle nel Libero consorzio comunale di Agrigento,Porto Empedocle – MappaPosizione del comune di Porto Empedocle nel Libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
