Menfi comune,Menfi comune.1
,
Menfi – VedutaChiesa del Collegio,Menfi – VedutaChiesa del Collegio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Vito Clemente (lista civica 92013) dal 29-5-2023
Territorio,Territorio
Coordinate,37°36′28″N 12°58′07″E
Altitudine,109 m s.l.m.
Superficie,"113,58 km²"
Abitanti,11 735[1] (30-11-2025)
Densità,"103,32 ab./km²"
Frazioni,"Porto Palo, Lido Fiori, Capparrina, Bertolino di Mare"
Comuni confinanti,"Castelvetrano (TP), Montevago, Sambuca di Sicilia, Santa Margherita di Belice, Sciacca"
Altre informazioni,Altre informazioni
Cod. postale,92013
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084023
Cod. catastale,F126
Targa,AG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona B, 825 GG[3]"
Nome abitanti,menfitani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Menfi,Menfi
Menfi – MappaPosizione del comune di Menfi nel libero consorzio comunale di Agrigento,Menfi – MappaPosizione del comune di Menfi nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
