Santo Stefano Quisquina comune,Santo Stefano Quisquina comune.1
,
Santo Stefano Quisquina – VedutaPanorama del paese,Santo Stefano Quisquina – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Francesco Cacciatore (lista civica) dall'11-6-2013 (3º mandato dal 30-5-2023)
Territorio,Territorio
Coordinate,37°37′27″N 13°29′29″E
Altitudine,726 m s.l.m.
Superficie,"85,52 km²"
Abitanti,3 869[1] (30-11-2025)
Densità,"45,24 ab./km²"
Comuni confinanti,"Alessandria della Rocca, Bivona, Cammarata, Casteltermini, Castronovo di Sicilia (PA), San Biagio Platani"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084040
Cod. catastale,I356
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 688 GG[3]"
Nome abitanti,quisquinesi
Patrono,santa Rosalia
Giorno festivo,Martedì successivo alla prima domenica di giugno
Cartografia,Cartografia
Santo Stefano Quisquina,Santo Stefano Quisquina
Santo Stefano Quisquina – MappaPosizione del comune di Santo Stefano Quisquina nel libero consorzio comunale di Agrigento,Santo Stefano Quisquina – MappaPosizione del comune di Santo Stefano Quisquina nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
