Agrigento comune,Agrigento comune.1
,
Agrigento – VedutaIl centro di Agrigento visto dal parco della Valle dei Templi,Agrigento – VedutaIl centro di Agrigento visto dal parco della Valle dei Templi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Francesco Miccichè (indipendente di centro-destra) dal 21-10-2020
Territorio,Territorio
Coordinate,37°18′45″N 13°34′30″E
Altitudine,230 m s.l.m.
Superficie,"245,32 km²"
Abitanti,55 128[1] (30-11-2025)
Densità,"224,72 ab./km²"
Frazioni,"Cannatello, Fiumenaro, Fontanelle, Giardina Gallotti, Monserrato, Montaperto, San Leone, San Michele, Villaggio Mosè, Villaggio Peruzzo, Villaseta"
Comuni confinanti,"Aragona, Cattolica Eraclea, Favara, Joppolo Giancaxio, Montallegro, Naro, Palma di Montechiaro, Porto Empedocle, Raffadali, Realmonte, Sant'Angelo Muxaro, Siculiana"
Altre informazioni,Altre informazioni
Cod. postale,92100
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084001
Cod. catastale,A089
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 729 GG[3]"
Nome abitanti,agrigentini
Patrono,san Gerlando
Giorno festivo,25 febbraio
Soprannome,La città dei templi
Cartografia,Cartografia
Agrigento,Agrigento
Agrigento – MappaPosizione del comune di Agrigento nel libero consorzio comunale,Agrigento – MappaPosizione del comune di Agrigento nel libero consorzio comunale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
