Favara comune,Favara comune.1
,
Favara – VedutaPanorama della città dal colle di San Francesco,Favara – VedutaPanorama della città dal colle di San Francesco
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Antonio Palumbo (PRC) dal 26-10-2021
Territorio,Territorio
Coordinate,37°19′07″N 13°39′47″E
Altitudine,338 m s.l.m.
Superficie,"81,88 km²"
Abitanti,31 196[1] (30-11-2025)
Densità,381 ab./km²
Comuni confinanti,"Agrigento, Aragona, Castrofilippo, Comitini, Grotte, Naro, Racalmuto"
Altre informazioni,Altre informazioni
Cod. postale,92026
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084017
Cod. catastale,D514
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 060 GG[3]"
Nome abitanti,Favaresi e Favarisi in siciliano
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Favara,Favara
Favara – MappaPosizione del comune di Favara nel libero consorzio comunale di Agrigento,Favara – MappaPosizione del comune di Favara nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
