Comitini comune,Comitini comune.1
,
Comitini – Veduta,Comitini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Luigi Nigrelli (lista civica) dal 12-06-2022
Territorio,Territorio
Coordinate,37°24′32″N 13°38′38″E
Altitudine,350 m s.l.m.
Superficie,"21,89 km²"
Abitanti,920[1] (30-11-2025)
Densità,"42,03 ab./km²"
Comuni confinanti,"Aragona, Favara, Grotte"
Altre informazioni,Altre informazioni
Cod. postale,92020
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084016
Cod. catastale,C928
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 077 GG[3]"
Nome abitanti,comitinesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Comitini,Comitini
Comitini – MappaPosizione del comune di Comitini nel libero consorzio comunale di Agrigento,Comitini – MappaPosizione del comune di Comitini nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
