Casteltermini comune,Casteltermini comune.1
,
Casteltermini – Veduta,Casteltermini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Gioacchino Nicastro (lista civica) dal 7-10-2020
Territorio,Territorio
Coordinate,37°32′30″N 13°38′43″E
Altitudine,555 m s.l.m.
Superficie,"99,98 km²"
Abitanti,7 029[1] (30-11-2025)
Densità,"70,3 ab./km²"
Frazioni,Casteltermini Zolfare
Comuni confinanti,"Acquaviva Platani (CL), Aragona, Cammarata, Campofranco (CL), San Biagio Platani, Sant'Angelo Muxaro, Santo Stefano Quisquina, Sutera (CL)"
Altre informazioni,Altre informazioni
Cod. postale,92025
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084012
Cod. catastale,C275
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 384 GG[3]"
Nome abitanti,castelterminesi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
Casteltermini,Casteltermini
Casteltermini – MappaPosizione del comune di Casteltermini nel libero consorzio comunale di Agrigento,Casteltermini – MappaPosizione del comune di Casteltermini nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
