Ribera comune,Ribera comune.1
,
Ribera – Veduta,Ribera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Matteo Ruvolo (Indipendente) dal 7-10-2020
Territorio,Territorio
Coordinate,37°29′58″N 13°15′54″E
Altitudine,223 m s.l.m.
Superficie,"118,52 km²"
Abitanti,17 739[1] (30-11-2025)
Densità,"149,67 ab./km²"
Frazioni,"Borgo Bonsignore, Seccagrande e Piana Grande"
Comuni confinanti,"Bivona, Calamonaci, Caltabellotta, Cattolica Eraclea, Cianciana, Sciacca"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano"
Cod. postale,92016
Prefisso,0925
Fuso orario,UTC+1
Codice ISTAT,084033
Cod. catastale,H269
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 974 GG[3]"
Nome abitanti,riberesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ribera,Ribera
Ribera – MappaPosizione del comune di Ribera nel libero consorzio comunale di Agrigento,Ribera – MappaPosizione del comune di Ribera nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
