Canicattì comune,Canicattì comune.1
,
Canicattì – VedutaIl centro storico,Canicattì – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Vincenzo Corbo (lista civica) dal 26-10-2021
Territorio,Territorio
Coordinate,37°21′36″N 13°51′04″E
Altitudine,463 m s.l.m.
Superficie,92 km²
Abitanti,34 265[1] (30-11-2025)
Densità,"372,45 ab./km²"
Comuni confinanti,"Serradifalco (CL), Montedoro (CL), Caltanissetta (CL), Delia (CL), Castrofilippo, Racalmuto, Naro"
Altre informazioni,Altre informazioni
Cod. postale,92024
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084011
Cod. catastale,B602
Targa,AG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 418 GG[3]"
Nome abitanti,canicattinesi
Patrono,san Pancrazio
Giorno festivo,3 aprile
Cartografia,Cartografia
Canicattì,Canicattì
Canicattì – MappaPosizione del comune di Canicattì nel libero consorzio comunale di Agrigento,Canicattì – MappaPosizione del comune di Canicattì nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
