Lampedusa e Linosa comune,Lampedusa e Linosa comune.1
,
"Lampedusa e Linosa – VedutaL'abitato di Lampedusa, capoluogo comunale","Lampedusa e Linosa – VedutaL'abitato di Lampedusa, capoluogo comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Filippo Mannino (lista civica L'alternativa c'è) dal 13-6-2022
Territorio,Territorio
Coordinate,35°30′12.69″N 12°36′24.08″E
Altitudine,16 m s.l.m.
Superficie,"25,22 km²"
Abitanti,6 477[1] (30-11-2025)
Densità,"256,82 ab./km²"
Frazioni,"Lampedusa (sede comunale), Linosa"
Comuni confinanti,nessuno (comune insulare)
Altre informazioni,Altre informazioni
Cod. postale,92031
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084020
Cod. catastale,E431
Targa,AG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona A, 568 GG[3]"
Nome abitanti,lampedusani e linosani
Patrono,Maria Santissima di Porto Salvo
Giorno festivo,22 settembre
Cartografia,Cartografia
Lampedusa e Linosa,Lampedusa e Linosa
Lampedusa e Linosa – MappaPosizione del comune di Lampedusa e Linosa nel libero consorzio comunale di Agrigento,Lampedusa e Linosa – MappaPosizione del comune di Lampedusa e Linosa nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
