Cianciana comune,Cianciana comune.1
,
Cianciana – Veduta,Cianciana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Agrigento
Amministrazione,Amministrazione
Sindaco,Francesco Martorana (lista civica) dall'11-6-2018 (2º mandato dal 30-5-2023)
Territorio,Territorio
Coordinate,37°31′17″N 13°26′04″E
Altitudine,390 m s.l.m.
Superficie,"38,08 km²"
Abitanti,2 979[1] (30-11-2025)
Densità,"78,23 ab./km²"
Comuni confinanti,"Alessandria della Rocca, Bivona, Cattolica Eraclea, Ribera, Sant'Angelo Muxaro"
Altre informazioni,Altre informazioni
Cod. postale,92012
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,084015
Cod. catastale,C668
Targa,AG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 106 GG[3]"
Nome abitanti,ciancianesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Cianciana,Cianciana
Cianciana – MappaPosizione del comune di Cianciana nel libero consorzio comunale di Agrigento,Cianciana – MappaPosizione del comune di Cianciana nel libero consorzio comunale di Agrigento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
