Cingoli comune,Cingoli comune.1
,
"Cingoli – VedutaLa porta pia, porta d'ingresso del centro storico","Cingoli – VedutaLa porta pia, porta d'ingresso del centro storico"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Michele Vittori (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°22′26.94″N 13°12′58.88″E
Altitudine,631 m s.l.m.
Superficie,"148,2 km²"
Abitanti,9 438[1] (30-11-2025)
Densità,"63,68 ab./km²"
Frazioni,"Avenale, Botontano, Capo di Rio, Carciole, Castel Sant'Angelo, Castreccioni, Cervidone I, Cervidone II, Civitello, Colcerasa, Colle, Colognola, Grottaccia, Lago Castreccioni, Marcucci, Moscosi, Mummuiola, Pian della Pieve, Piancavallino, Saltregna, San Faustino, San Flaviano, Santa Maria del Rango, Santo Stefano, Santo Obrizio, San Venanzo, San Vittore, Torrone, Troviggiano, Valcarecce, Villa Moscosi, Villa Pozzo, Villa Strada, Villa Torre"
Comuni confinanti,"Apiro, Appignano, Filottrano (AN), Jesi (AN), San Severino Marche, Staffolo (AN), Treia"
Altre informazioni,Altre informazioni
Cod. postale,62011
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043012
Cod. catastale,C704
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 282 GG[3]"
Nome abitanti,cingolani[4][5]
Patrono,"sant'Esuperanzio, santa Sperandia e san Bonfilio"
Giorno festivo,"4ª domenica di luglio, 24 gennaio"
Cartografia,Cartografia
Cingoli,Cingoli
Cingoli – MappaPosizione del comune di Cingoli nella provincia di Macerata,Cingoli – MappaPosizione del comune di Cingoli nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
