Recanati comune,Recanati comune.1
,
"Recanati – VedutaPiazza Giacomo Leopardi, la statua al poeta e il municipio, simboli della città leopardiana","Recanati – VedutaPiazza Giacomo Leopardi, la statua al poeta e il municipio, simboli della città leopardiana"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Emanuele Pepa (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,43°23′54.78″N 13°33′09.11″E
Altitudine,293 m s.l.m.
Superficie,"103,46 km²"
Abitanti,20 578[1] (30-11-2025)
Densità,"198,9 ab./km²"
Frazioni,"Bagnolo, Castelnuovo, Chiarino, Le Grazie, Montefiore, Santa Lucia, Fontenoce, Costa Dei Ricchi, Sambucheto, Spaccio Romitelli"
Comuni confinanti,"Castelfidardo (AN), Loreto (AN), Macerata, Montecassiano, Montefano, Montelupone, Osimo (AN), Porto Recanati, Potenza Picena"
Altre informazioni,Altre informazioni
Cod. postale,62019
Prefisso,"071, 0733 limitatamente alle frazioni di Montefiore e Sambucheto"
Fuso orario,UTC+1
Codice ISTAT,043044
Cod. catastale,H211
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 982 GG[3]"
Nome abitanti,recanatesi
Patrono,"san Vito, san Flaviano"
Giorno festivo,15 giugno
Cartografia,Cartografia
Recanati,Recanati
Recanati – MappaPosizione del comune di Recanati nella provincia di Macerata,Recanati – MappaPosizione del comune di Recanati nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
