Serrapetrona comune,Serrapetrona comune.1
,
Serrapetrona – Veduta,Serrapetrona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Silvia Pinzi (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°10′35.76″N 13°11′25.98″E
Altitudine,474 m s.l.m.
Superficie,"37,65 km²"
Abitanti,852[1] (30-11-2025)
Densità,"22,63 ab./km²"
Frazioni,"Borgiano, Caccamo sul Lago, Castel San Venanzo, Villa d'Aria, Borgianello, Collina"
Comuni confinanti,"Belforte del Chienti, Caldarola, Camerino, Castelraimondo, San Severino Marche, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043051
Cod. catastale,I651
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 213 GG[3]"
Nome abitanti,serrapetronesi
Patrono,Clemente di Metz
Giorno festivo,23 novembre
Cartografia,Cartografia
Serrapetrona,Serrapetrona
Serrapetrona – MappaPosizione del comune di Serrapetrona nella provincia di Macerata,Serrapetrona – MappaPosizione del comune di Serrapetrona nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
