Porto Recanati comune,Porto Recanati comune.1
,
Porto Recanati – VedutaPanorama dalla torre del Castello,Porto Recanati – VedutaPanorama dalla torre del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Andrea Michelini (lista civica Progetto comune) dal 5-10-2021
Data di istituzione,de iure: 15 gennaio 1893 de facto: 1º maggio 1893
Territorio,Territorio
Coordinate,43°25′47.51″N 13°39′53.6″E
Altitudine,6 m s.l.m.
Superficie,"17,25 km²"
Abitanti,12 724[1] (30-11-2025)
Densità,"737,62 ab./km²"
Frazioni,"Santa Maria in Potenza, Scossicci"
Comuni confinanti,"Castelfidardo (AN), Loreto (AN), Numana (AN), Potenza Picena, Recanati"
Altre informazioni,Altre informazioni
Cod. postale,62017
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,043042
Cod. catastale,G919
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 647 GG[3]"
Nome abitanti,portorecanatesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Motto,Fortiter et Fidenter
Cartografia,Cartografia
Porto Recanati,Porto Recanati
Porto Recanati – MappaPosizione del comune di Porto Recanati nella provincia di Macerata,Porto Recanati – MappaPosizione del comune di Porto Recanati nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
