Corridonia comune,Corridonia comune.1
,
Corridonia – VedutaSan Francesco e monumento ai Caduti,Corridonia – VedutaSan Francesco e monumento ai Caduti
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Giuliana Giampaoli (lista civica) dal 26-6-2022
Territorio,Territorio
Coordinate,43°14′53.59″N 13°30′27.11″E
Altitudine,261 m s.l.m.
Superficie,"61,97 km²"
Abitanti,14 679[1] (30-11-2025)
Densità,"236,87 ab./km²"
Frazioni,"Colbuccaro, Passo del Bidollo, San Claudio, Contrada Sarrocciano"
Comuni confinanti,"Francavilla d'Ete (FM), Macerata, Mogliano, Monte San Giusto, Monte San Pietrangeli (FM), Morrovalle, Petriolo, Tolentino, Urbisaglia"
Altre informazioni,Altre informazioni
Cod. postale,62014
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043015
Cod. catastale,D042
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 976 GG[3]"
Nome abitanti,corridoniani
Patrono,San Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Corridonia,Corridonia
Corridonia – MappaPosizione del comune di Corridonia nella provincia di Macerata,Corridonia – MappaPosizione del comune di Corridonia nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
