Monte San Martino comune,Monte San Martino comune.1
,
"Monte San Martino – VedutaSullo sfondo la Chiesa di San Martino Vescovo, vista dai piccoli giardini pubblici del paese, la chiesa si trova nel punto più alto del paese","Monte San Martino – VedutaSullo sfondo la Chiesa di San Martino Vescovo, vista dai piccoli giardini pubblici del paese, la chiesa si trova nel punto più alto del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Matteo Pompei (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°01′58.44″N 13°26′22.56″E
Altitudine,600[1] m s.l.m.
Superficie,"18,47 km²"
Abitanti,669[2] (30-11-2025)
Densità,"36,22 ab./km²"
Frazioni,Molino
Comuni confinanti,"Amandola (FM), Montefalcone Appennino (FM), Penna San Giovanni, Santa Vittoria in Matenano (FM), Servigliano (FM), Smerillo (FM)"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043032
Cod. catastale,F622
Targa,MC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 345 GG[4]"
Nome abitanti,monsammartinesi (più usato) o montesammartinesi
Patrono,San Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Monte San Martino,Monte San Martino
Monte San Martino – MappaPosizione del comune di Monte San Martino nella provincia di Macerata,Monte San Martino – MappaPosizione del comune di Monte San Martino nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
