Belforte del Chienti comune,Belforte del Chienti comune.1
,
Belforte del Chienti – Veduta,Belforte del Chienti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Alessio Vita (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°09′51.01″N 13°14′14.87″E
Altitudine,347 m s.l.m.
Superficie,"16,05 km²"
Abitanti,1 831[1] (30-11-2025)
Densità,"114,08 ab./km²"
Comuni confinanti,"Caldarola, Camporotondo di Fiastrone, Serrapetrona, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043004
Cod. catastale,A739
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 046 GG[3]"
Nome abitanti,belfortesi
Patrono,sant'Eustachio
Giorno festivo,20 maggio
Cartografia,Cartografia
Belforte del Chienti,Belforte del Chienti
Belforte del Chienti – MappaPosizione del comune di Belforte del Chienti nella provincia di Macerata,Belforte del Chienti – MappaPosizione del comune di Belforte del Chienti nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
