Apiro comune,Apiro comune.1
,
Apiro – VedutaPanorama del capoluogo col Monte San Vicino.,Apiro – VedutaPanorama del capoluogo col Monte San Vicino.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Ubaldo Scuppa (lista civica) dal 26-5-2014 (3º mandato dall'11-6-2024)
Territorio,Territorio
Coordinate,43°23′35.03″N 13°07′48.97″E
Altitudine,516 m s.l.m.
Superficie,"53,78 km²"
Abitanti,2 019[1] (30-11-2025)
Densità,"37,54 ab./km²"
Frazioni,"Casalini, Favete, Frontale"
Comuni confinanti,"Cingoli, Cupramontana (AN), Matelica, Poggio San Vicino, San Severino Marche, Serra San Quirico (AN), Staffolo (AN)"
Altre informazioni,Altre informazioni
Cod. postale,62021
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043002
Cod. catastale,A329
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,apirani
Patrono,sant'Urbano
Giorno festivo,25 maggio
Cartografia,Cartografia
Apiro,Apiro
Apiro – MappaPosizione del comune di Apiro nella provincia di Macerata,Apiro – MappaPosizione del comune di Apiro nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
