Treia comune,Treia comune.1
,
Treia – Veduta,Treia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Franco Capponi (lista civica) dal 29-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°18′40.93″N 13°18′46.99″E
Altitudine,342 m s.l.m.
Superficie,"93,54 km²"
Abitanti,9 002[1] (30-11-2025)
Densità,"96,24 ab./km²"
Frazioni,"Camporota, San Lorenzo, Chiesanuova di Treia, Passo di Treia, Santa Maria in Selva, Santa Maria in Piana"
Comuni confinanti,"Appignano, Cingoli, Macerata, Pollenza, San Severino Marche, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043054
Cod. catastale,L366
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 040 GG[3]"
Nome abitanti,treiesi
Patrono,san Patrizio
Giorno festivo,17 marzo
Cartografia,Cartografia
Treia,Treia
Treia – MappaPosizione del comune di Treia nella provincia di Macerata,Treia – MappaPosizione del comune di Treia nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
