Castelsantangelo sul Nera comune,Castelsantangelo sul Nera comune.1
,
Castelsantangelo sul Nera – VedutaVista di Castelsantangelo sul Nera prima dei terremoti del 2016,Castelsantangelo sul Nera – VedutaVista di Castelsantangelo sul Nera prima dei terremoti del 2016
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Alfredo Riccioni (lista civica Futuro per Castello) dal 10-6-2024
Territorio,Territorio
Coordinate,42°53′40.63″N 13°09′11.92″E
Altitudine,780 m s.l.m.
Superficie,"70,67 km²"
Abitanti,207[1] (30-11-2025)
Densità,"2,93 ab./km²"
Frazioni,"Gualdo, Macchie, Nocelleto, Nocria, Pian dell'Arco, Rapegna, Spina di Gualdo, Vallinfante"
Comuni confinanti,"Montefortino (FM), Montemonaco (AP), Norcia (PG), Preci (PG), Visso, Ussita"
Altre informazioni,Altre informazioni
Cod. postale,62039
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043010
Cod. catastale,C267
Targa,MC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 552 GG[3]"
Nome abitanti,castellani
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Castelsantangelo sul Nera,Castelsantangelo sul Nera
Castelsantangelo sul Nera – MappaPosizione del comune di Castelsantangelo sul Nera nella provincia di Macerata,Castelsantangelo sul Nera – MappaPosizione del comune di Castelsantangelo sul Nera nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
