Monte Cavallo comune,Monte Cavallo comune.1
,
Monte Cavallo – Veduta,Monte Cavallo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Pietro Cecoli (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°59′34.51″N 13°00′03.85″E
Altitudine,648 m s.l.m.
Superficie,"38,51 km²"
Abitanti,100[1] (30-11-2025)
Densità,"2,6 ab./km²"
Frazioni,"Cascine, Cerreto, Cesure, Collattoni, Colle Bianco, Pantaneto, Pian della Noce, Piè del Sasso, Selvapiana, Valcaldara, Valle San Benedetto"
Comuni confinanti,"Pieve Torina, Serravalle di Chienti, Visso"
Altre informazioni,Altre informazioni
Cod. postale,62030
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043027
Cod. catastale,F460
Targa,MC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 398 GG[3]"
Nome abitanti,montecavallesi
Patrono,san Benedetto da Norcia
Giorno festivo,21 marzo
Cartografia,Cartografia
Monte Cavallo,Monte Cavallo
Monte Cavallo – MappaPosizione del comune di Monte Cavallo nella provincia di Macerata,Monte Cavallo – MappaPosizione del comune di Monte Cavallo nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
