Castelraimondo comune,Castelraimondo comune.1
,
Castelraimondo – Veduta,Castelraimondo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Patrizio Leonelli (Centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,43°12′32.76″N 13°03′16.56″E
Altitudine,307 m s.l.m.
Superficie,"44,85 km²"
Abitanti,4 187[1] (30-11-2025)
Densità,"93,36 ab./km²"
Frazioni,"Brondoleto, Carsignano, Castel Santa Maria, Collina, Corneto, Crispiero, Ele, Piano di Rustano, Rustano, Sant'Angelo, Seano, Stroppigliosi, Torricella, Valeano, Vasconi"
Comuni confinanti,"Camerino, Fiuminata, Gagliole, Matelica, Pioraco, San Severino Marche, Serrapetrona"
Altre informazioni,Altre informazioni
Cod. postale,62022
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043009
Cod. catastale,C251
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 999 GG[3]"
Nome abitanti,castelraimondesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castelraimondo,Castelraimondo
Castelraimondo – MappaPosizione del comune di Castelraimondo nella provincia di Macerata,Castelraimondo – MappaPosizione del comune di Castelraimondo nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
