Caldarola comune,Caldarola comune.1
,
Caldarola – Veduta,Caldarola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Giuseppe Fabbroni (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°08′17.41″N 13°13′30.5″E
Altitudine,314 m s.l.m.
Superficie,"29,22 km²"
Abitanti,1 620[1] (30-11-2025)
Densità,"55,44 ab./km²"
Frazioni,"Bistocco, Croce, Pievefavera, Valcimarra, Vestignano, Castiglione di Croce."
Comuni confinanti,"Belforte del Chienti, Camerino, Camporotondo di Fiastrone, Cessapalombo, Serrapetrona, Valfornace"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043006
Cod. catastale,B398
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 007 GG[3]"
Nome abitanti,caldarolesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Caldarola,Caldarola
Caldarola – MappaPosizione del comune di Caldarola nella provincia di Macerata,Caldarola – MappaPosizione del comune di Caldarola nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
