Pollenza comune,Pollenza comune.1
,
Pollenza – VedutaLa piazza principale di notte.,Pollenza – VedutaLa piazza principale di notte.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Mauro Romoli (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°16′03.99″N 13°20′53.3″E
Altitudine,341 m s.l.m.
Superficie,"39,55 km²"
Abitanti,6 155[1] (30-11-2025)
Densità,"155,63 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Macerata, San Severino Marche, Tolentino, Treia"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043041
Cod. catastale,F567
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 039 GG[3]"
Nome abitanti,pollentini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Pollenza,Pollenza
Pollenza – MappaPosizione del comune di Pollenza nella provincia di Macerata,Pollenza – MappaPosizione del comune di Pollenza nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
