Monte San Giusto comune,Monte San Giusto comune.1
,
Monte San Giusto – VedutaPiazza Aldo Moro,Monte San Giusto – VedutaPiazza Aldo Moro
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Andrea Gentili (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°14′16.44″N 13°35′40.74″E
Altitudine,236 m s.l.m.
Superficie,"20,04 km²"
Abitanti,7 393[1] (30-11-2025)
Densità,"368,91 ab./km²"
Frazioni,Villa San Filippo
Comuni confinanti,"Corridonia, Monte San Pietrangeli (FM), Montegranaro (FM), Morrovalle"
Altre informazioni,Altre informazioni
Cod. postale,62015
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043031
Cod. catastale,F621
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 923 GG[3]"
Nome abitanti,sangiustesi
Patrono,Madonna Incoronata
Giorno festivo,8 settembre
Cartografia,Cartografia
Monte San Giusto,Monte San Giusto
Monte San Giusto – MappaPosizione del comune di Monte San Giusto nella provincia di Macerata,Monte San Giusto – MappaPosizione del comune di Monte San Giusto nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
