San Severino Marche comune,San Severino Marche comune.1
,
San Severino Marche – Veduta,San Severino Marche – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Rosa Piermattei (lista civica San Severino cambia) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,43°13′43.88″N 13°10′37.57″E
Altitudine,236 m s.l.m.
Superficie,"194,26 km²"
Abitanti,11 798[1] (30-11-2025)
Densità,"60,73 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Apiro, Castelraimondo, Cingoli, Gagliole, Matelica, Pollenza, Serrapetrona, Tolentino, Treia"
Altre informazioni,Altre informazioni
Cod. postale,62027
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043047
Cod. catastale,I156
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 915 GG[3]"
Nome abitanti,settempedani
Patrono,san Severino e santa Filomena di Sanseverino
Giorno festivo,8 giugno
Cartografia,Cartografia
San Severino Marche,San Severino Marche
San Severino Marche – MappaPosizione del comune di San Severino Marche nella provincia di Macerata,San Severino Marche – MappaPosizione del comune di San Severino Marche nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
